date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2017-10-13,0.005406996,0.01327656,0.05834842,0.0072515802,0.8932267,0.022489738,0.005406995769590139,0.013276560232043266,0.05834842100739479,0.007251580245792866,0.893226683139801,0.02248973771929741,0.6828493,1
2017-10-15,0.0088655995,0.044861812,0.04181105,0.015360514,0.8478118,0.04128924,0.008865599520504475,0.0448618121445179,0.04181104898452759,0.01536051370203495,0.8478118181228638,0.04128924012184143,0.9371713,1
2017-10-16,0.008949121,0.06236018,0.098422416,0.020754611,0.76953745,0.039976213,0.008858991578189828,0.0599429359263628,0.0965778827217322,0.020534730818941468,0.774967156458592,0.039118299013282655,1.2322841,3
2017-10-17,0.008957412,0.030003328,0.038717438,0.015271151,0.6428957,0.26415494,0.009010806045762144,0.02948349967260801,0.04066240807883502,0.016011503799795816,0.6603987552648232,0.24443296924523247,1.4035301,2
2017-10-18,0.004870121,0.016006272,0.023835132,0.006714194,0.3869989,0.5615754,0.004870120901614428,0.01600627228617668,0.023835131898522377,0.00671419408172369,0.38699889183044434,0.5615754127502441,1.3073645,1
2017-10-19,0.014126119,0.5265059,0.0108884545,0.011427938,0.21103147,0.2260201,0.013942897308710784,0.5151039301905774,0.010938259471572521,0.01128792198814609,0.2139015233119138,0.2348254438897241,1.6773857,5
2017-10-20,0.023869535,0.7827499,0.013582412,0.015482977,0.111821376,0.05249384,0.023691012024781636,0.7705703410330174,0.014267569658483014,0.015168745906236918,0.12080713955754785,0.05549520370907087,1.1591984,3
2017-10-21,0.048473634,0.90630895,0.0070111006,0.017832348,0.009780783,0.010593107,0.04847363382577896,0.9063089489936829,0.007011100649833679,0.017832348123192787,0.009780783206224442,0.010593106970191002,0.62885606,1
2017-10-22,0.010178414,0.07252706,0.012641258,0.027593121,0.36242202,0.5146381,0.010178414173424244,0.07252705842256546,0.012641257606446743,0.02759312093257904,0.36242201924324036,0.5146381258964539,1.5884284,1
2017-10-23,0.018451026,0.32698485,0.033737306,0.17968756,0.405061,0.03607823,0.016282860852935642,0.13320652666309524,0.04614707127203623,0.3087585030448815,0.46197682506744825,0.03362823499258233,1.9445816,3
2017-10-24,0.111160025,0.32627407,0.028601278,0.15646005,0.30987993,0.0676247,0.10989269000950057,0.22562506640379842,0.031000274941611856,0.14743941901206922,0.417063319383189,0.06897922866709268,2.2314506,7
2017-10-25,0.014314894,0.34050614,0.041878693,0.016639302,0.41163245,0.17502858,0.014808143851776225,0.2531010992024618,0.06283408232002921,0.018801108839515444,0.44083757776913196,0.20961804658993463,1.8741658,4
2017-10-26,0.014635892,0.16756056,0.07542553,0.036657844,0.5950804,0.11063979,0.018993019929951508,0.19610464977359987,0.059705451995078936,0.027115569119170648,0.5827447350784806,0.11533655487471438,1.7741566,6
2017-10-27,0.008216101,0.08454268,0.07131956,0.024698453,0.58273476,0.2284884,0.006520126511086695,0.04654162009493789,0.046890837693225905,0.015803808669237494,0.5088048009074895,0.3754387843861292,1.7024508,7
2017-10-28,0.012395789,0.030822724,0.052186143,0.215101,0.54148936,0.14800496,0.013231353085422963,0.03148333929496616,0.06333744853390917,0.27426422982498033,0.5092361057097005,0.1084474926175899,1.8195829,3
2017-10-29,0.0102844015,0.023842834,0.06688703,0.08840007,0.7755723,0.03501345,0.01008578300365196,0.023193161328045175,0.06568328153123514,0.08301153913279438,0.7825921042723109,0.03543418400730967,1.2205172,2
2017-10-30,0.012310181,0.11000676,0.044298537,0.21871805,0.4641441,0.15052238,0.013431553315110771,0.16729746311134377,0.033885157765882294,0.09298439436664191,0.4582724150151478,0.23412898857623324,2.0323963,4
