date,Все товары и услуги,"- без плодоовощной продукции, нефтепродуктов и ЖКХ",Продовольственные товары,-без плодоовощной продукции,Мясопродукты,Рыбопродукты,Масло и жиры,Молоко и молочная продукция,Сыр,Яйца,Сахар,Кондитерские изделия,"Чай, кофе",Хлеб и хлебобулочные изделия,Макаронные и крупяные изделия,"Плодоовощная продукция, включая картофель",Алкогольные напитки,Общественное питание,Непродовольственные товары,- без нефтепродуктов,Одежда и белье,Меха и меховые изделия,Трикотажные изделия,"Обувь кожаная, текстильная и комбинированная",Моющие и чистящие средства,Парфюмерно-косметические товары,Галантерея,Табачные изделия,Мебель,Электротовары и другие бытовые приборы,Печатные издания,Телерадиотовары,Персональные компьютеры,Средства связи,Строительные материалы,Легковые автомобили,Нефтепродукты,Медицинские товары,Услуги,- без ЖКХ,Бытовые услуги,Услуги пассажирского транспорта,Услуги связи,Жилищно-коммунальные услуги,Услуги гостиниц и прочих мест проживания,Услуги в системе образования,Услуги организаций культуры,Услуги в сфере зарубежного туризма,Экскурсионные услуги,Санаторно-оздоровительные услуги,Медицинские услуги,Базовый ИПЦ,Базовый ИПЦ без услуг туризма,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume,log_msg_volume,d_p_Aggression_mean,d_p_Anxiety_mean,d_p_Disappointment_mean,d_p_Hope_mean,d_p_Neutral_mean,d_p_Uncertainty_mean,d_emotion_entropy,d_log_msg_volume
2020-01-01,0.1702499682846934,0.1445146416926519,0.059786324026902,0.1002315874521997,-0.1299999999999954,0.229288493551337,0.1800000000000068,0.2008177954599972,0.3001914174119804,-2.116040117936052,-0.6903756111008903,0.1400000000000005,0.0100000000000051,0.3199999999999932,0.0699999999999931,-0.2429643242238626,0.4599999999999937,0.0499999999999971,0.2509966654381514,0.2545762841294419,0.1288720071266311,-0.0781247555362369,0.1880617060510161,0.1851213157060698,0.2300000000000039,0.0691268101576696,0.0253714841262961,0.7900000000000063,0.0252149943102324,-0.1299047695318762,0.2344090102031231,-0.5600000000000023,0.0499999999999971,-0.0300000000000011,0.0699999999999931,0.5900000000000034,0.2261204531476721,0.5300000000000011,0.2251489731364699,0.062977035648629,0.1301982810307578,0.0151842234033807,0.1200000000000045,0.5159850927569067,-0.171104732883677,0.2779830057525032,0.2622319299220805,-0.6807978183382346,0.1400000000000005,0.1064684072785553,0.2834951594014683,0.0950414114012403,0.1180653142416616,0.0640010091290322,0.285993013516129,0.0502729037419354,0.0457368013064516,0.409093369032258,0.1449029061612903,0.070221426941901,0.2882694531845174,0.0489528698976494,0.0462042523977912,0.4016269468965739,0.1447250518467931,1.975864964516129,455,6.12029741895095,,,,,,,,
2020-02-01,0.1926213983817888,0.1310504968522536,0.140380252984329,-0.0104785297321967,-0.4000000000000057,0.1275718380431385,0.019999999999996,0.3669665340836303,0.4189240047435021,-4.283316358399759,-0.4492903039070057,0.1599999999999966,0.0699999999999931,0.3100000000000023,0.25,1.3816749209887575,0.4500000000000028,-0.1700000000000017,0.0767071052768386,0.0828724688068547,0.0867754744089381,0.1403561377899933,0.1567244115247632,0.0666003576236846,0.019999999999996,0.0780713832760255,0.1875032458079033,0.5,0.0422953578018194,0.4792057785744958,0.2394165632805283,-1.1599999999999966,-0.5799999999999983,-0.5400000000000063,-0.0100000000000051,0.019999999999996,0.0338673306425079,0.3599999999999994,0.4024715098909865,0.469712637140617,0.2320350057967886,0.5091692176595046,1.2999999999999972,0.2830956085958007,-0.4546810042337483,0.3467799673409075,0.0261981561078101,0.1050115320889091,0.2099999999999937,0.3412946093102249,0.36314913974131,0.1701234954051926,0.172525402977115,0.0387912324655172,0.3835259788275862,0.0431423337586206,0.0451092819310344,0.3411286362068965,0.1483025336551724,0.0443827351133942,0.3956641179985192,0.0441084910011608,0.0452425522901883,0.3151701051071783,0.1554319981374717,1.9289085620689657,416,6.030685260261263,-0.025209776663514996,0.09753296531145722,-0.007130569983314801,-0.0006275193754171973,-0.06796473282536153,0.0033996274938820903,-0.04695640244716337,-0.08961215868968697
2020-03-01,0.5338719062156088,0.5204598934960671,0.8290869028071768,0.6934694970399562,0.730000000000004,0.3775223024644418,0.8700000000000045,0.4541037729836006,0.6687125419710469,0.9077729179784768,10.850955497085836,0.2000000000000028,0.5,0.5300000000000011,2.739999999999995,1.870706345058835,0.5300000000000011,0.1599999999999966,0.4626081592920172,0.5198654113024617,0.1315284020507761,0.249595703746877,0.1283153697951604,0.0535624150297593,0.5600000000000023,0.5369055710458213,0.2385781290086299,0.7399999999999949,0.2641164050332349,2.290625655634159,0.267278294066557,2.019999999999996,1.5699999999999932,-0.1400000000000005,0.2399999999999948,0.4500000000000028,0.0646260698325278,1.1500000000000057,0.2289250659291042,0.2001955123330532,0.2169389833117634,-1.0674531607188555,0.8299999999999983,0.2805695212127119,0.0801861022839034,0.4131515267502692,0.1540007527740954,0.8351718854747929,0.5600000000000023,0.3635270477409875,0.5437397991825179,0.4314546985807652,0.4208198190848691,0.041603278032258,0.4862025109677419,0.037411508548387,0.0404050119193548,0.2634414222580645,0.130936272,0.0425276332060806,0.4979075346535141,0.0366662649469497,0.0448429422129344,0.2386234360321371,0.1394321918311353,1.8682833,531,6.274762021241939,0.0028120455667407993,0.10267653214015571,-0.005730825210233603,-0.004704270011679605,-0.07768721394883199,-0.01736626165517241,-0.06062526206896557,0.24407676098067554
2020-04-01,0.8085582467095804,0.6346392942652557,1.520570460251463,0.9064956687775664,0.9300000000000068,0.7190668022957425,0.6500000000000057,0.642375359072517,0.7241298478677578,7.182812949466495,5.488278689873297,0.3799999999999954,0.4599999999999937,0.4500000000000028,5.25,6.275625254772436,0.3599999999999994,0.2999999999999971,0.4703731292302961,0.5701833653611601,0.0026151491181281,0.1347856411723711,0.0339326583444403,-0.0830530076326141,1.269999999999996,0.4401963348991131,0.2429961338497719,0.7399999999999949,0.2895439702975437,1.1857255478738438,0.2280312688470473,0.25,1.1299999999999957,-0.269999999999996,0.5900000000000034,0.4500000000000028,-0.2268747052015811,3.0,0.2730441542042285,0.2560783451751973,0.1231430054597666,0.6906177563186304,0.3900000000000005,0.3035328597234041,-0.0847422180862054,0.2533902348079522,0.2105598099410315,0.2830770212768101,0.0,0.285909667550797,0.1758012519811274,0.4541540022059678,0.463786577877002,0.0488930935,0.4440394096666666,0.0345263755666666,0.05345708195,0.2848663113333333,0.1342177286666666,0.0477282486912461,0.4435559770403819,0.0354879524061996,0.050637830168713,0.2743743147997327,0.1482156764793522,1.9379966733333331,538,6.2878585601617845,0.007289815467741996,-0.04216310130107531,-0.002885132981720398,0.0130520700306452,0.021424889075268794,0.003281456666666599,0.06971337333333305,0.013096538919845635
2020-05-01,0.3186156322830413,0.3931465999590955,0.29196494336135,0.4176518099060331,-0.2900000000000062,0.4302113991887353,0.3799999999999954,0.5893817856240418,0.5936225244040259,4.730775297956782,-1.0011205393091274,0.5999999999999943,1.1700000000000017,0.5100000000000051,3.489999999999995,-0.5631680122739766,0.3100000000000023,0.2099999999999937,0.3148834174966595,0.3624355787629696,0.1689537681781843,0.0743126599729464,0.1715327059789899,0.1284418242839535,0.5699999999999932,0.4950050495444458,0.2586624512890694,0.6899999999999977,0.2718213429216689,0.3103398638933896,0.3178774244281328,-0.4200000000000017,0.2399999999999948,0.2300000000000039,0.5,0.4500000000000028,-0.0199698206228049,0.5900000000000034,0.3737822261980028,0.4322438687975847,0.2732439921132794,0.8666082130812498,1.25,0.2685256252690635,-0.8581696809241635,0.3538006915008367,0.1194042847448884,-0.5237710838420213,0.0,-0.698234437549587,0.225568789481656,0.3024651184329912,0.3375524585450762,0.0318414952258064,0.3773644525806451,0.0366384108064516,0.0379894772096774,0.3759854029032258,0.1401807602903225,0.0347052999836266,0.3649752602952368,0.0359073547882081,0.0391340773406008,0.3751173262024901,0.1501606779176675,1.8924502677419357,485,6.184148890937483,-0.0170515982741936,-0.0666749570860215,0.0021120352397850026,-0.015467604740322598,0.09111909156989251,0.005963031623655912,-0.04554640559139744,-0.10370966922430114
2020-06-01,0.276473438399492,0.2145145626397351,0.439957135441432,0.4024769289970891,0.2300000000000039,0.0693098016006104,0.4699999999999988,0.4738374890494725,0.6289651198168542,-0.2796615414652024,-0.1919749827000458,0.6599999999999966,0.8100000000000023,0.8499999999999943,1.8400000000000036,0.6996134480016707,0.2099999999999937,0.1400000000000005,0.4411278653796699,0.3639994649004165,0.2401341353672279,0.1553793559606191,0.2745741623164264,0.2418649901295708,0.6299999999999955,0.6243838957647085,0.2955544242965118,0.8299999999999983,0.3589179450913349,0.6828695977670378,0.2824699723001913,-0.8599999999999994,0.0100000000000051,-0.0600000000000022,0.3199999999999932,0.3700000000000045,0.9859842666950982,-0.0999999999999943,-0.1716718480302717,-0.4206138647372057,0.3668597762197976,-1.9887764396434733,0.3299999999999983,0.2782006873907363,-0.2387509181448166,0.2988717128203575,0.1468714256407537,-1.6106755295874962,0.0100000000000051,-3.1565728207284707,0.3361659582777889,0.3189598383832219,0.4003248209317291,0.0491004256333333,0.3783530516666666,0.041771958,0.0453765406999999,0.3585519723333333,0.1268460536666666,0.0542738832320769,0.353867456980481,0.042749698255805,0.0502628829249228,0.3623384981598355,0.1365075839751396,1.96034374,477,6.1675164908883415,0.0172589304075269,0.0009885990860215021,0.005133547193548395,0.007387063490322497,-0.017433430569892494,-0.013334706623655906,0.06789347225806419,-0.016632400049141793
2020-07-01,0.3860553896337819,0.2888742871537744,0.6988279254202467,0.3733819065341492,0.3799999999999954,0.13721300289221,0.2300000000000039,0.3597186153050415,0.4395379628879396,2.675364330522044,2.6186075565062765,0.3499999999999943,0.4000000000000057,0.519999999999996,0.3100000000000023,3.082090495701692,0.0999999999999943,0.1099999999999994,0.3550572876839908,0.2707773498710537,0.2021180595686189,-0.0172584723914752,0.242115915467906,0.1125639555528152,0.2999999999999971,0.4183591845132781,0.3276478706362837,0.5300000000000011,0.3510268369875717,-0.1277316650071753,0.3684815270527366,0.3199999999999932,-0.269999999999996,0.269999999999996,0.2000000000000028,0.2099999999999937,0.9461304353842196,0.1299999999999954,-0.0122381009510093,0.1484838066118641,0.4648100163098263,0.1910438172456139,0.1899999999999977,-0.3186099565161981,2.567197178477357,0.3975966889513387,0.3237707333524611,-1.5026986440596772,-0.4099999999999966,5.862950083767117,0.3655188037350712,0.4102284108093101,0.4231707730451433,0.0307144894516129,0.3786130103225806,0.0467470347419354,0.0451348974193548,0.3752531037741936,0.1235374690645161,0.0304517631746296,0.3667826604779076,0.050115534718761,0.0489461841337493,0.369055131045172,0.134648731004192,1.903035841935484,576,6.356107660695892,-0.018385936181720398,0.00025995865591399436,0.004975076741935404,-0.00024164328064509716,0.016701131440860273,-0.0033085846021504994,-0.05730789806451586,0.18859116980755086
2020-08-01,0.3797052278714261,0.3139011069820441,0.448155023323892,0.3078621692475281,0.3499999999999943,0.1409933662373816,0.2900000000000062,0.4267559030693775,0.4099937885043516,-0.4144560932708856,3.0901590430094217,0.2000000000000028,0.1200000000000045,0.5300000000000011,-0.0400000000000062,1.511518226048295,0.0499999999999971,0.3299999999999983,0.3653259931421928,0.3842143680118539,0.1522805486390552,0.1178514315609788,0.1970582653619317,0.1116294266670081,0.0900000000000034,-0.022899080652408,0.2655415503675158,0.5699999999999932,0.3873874590281332,-0.0294438211735723,0.492232592027463,0.0900000000000034,0.2399999999999948,-0.0699999999999931,0.4200000000000017,0.5600000000000023,0.2338172906660531,0.3700000000000045,0.2950894336870107,0.194465553076867,0.3691523483998509,0.4590028320381094,-0.25,0.474179339010746,2.1897367696578414,0.3790171609592931,0.3793666758747918,-0.761733405191606,0.8199999999999932,0.9711729286181878,0.4281316219458801,0.344345955957408,0.363210848814262,0.0496321643870967,0.3851508703225806,0.0422168536129032,0.0361385627903225,0.3580586561290322,0.1288028869032258,0.0496389463676683,0.3724223242578686,0.0422504341521804,0.0367515286198476,0.342578747126349,0.1563580184915206,1.9338547096774197,567,6.340359303727752,0.0189176749354838,0.0065378600000000064,-0.004530181129032203,-0.0089963346290323,-0.01719444764516137,0.005265417838709707,0.03081886774193565,-0.015748356968140698
2020-09-01,0.2379779281264973,0.3155046091746953,0.0744318104528787,0.2622878745120971,0.0400000000000062,0.4809064158202716,0.9899999999999948,-0.1005838142267236,0.2742159080866457,-2.561741064205876,8.558689906030168,0.3700000000000045,0.3900000000000005,0.4899999999999949,-0.1899999999999977,-1.508238512481526,0.0799999999999983,0.2000000000000028,0.4615786752160318,0.512924884745317,0.1618534336516717,-0.1081169847114438,0.0972404562203337,0.074907210433821,0.269999999999996,0.3901974388112137,0.2368034284659046,0.5900000000000034,0.5608188262635281,0.1151079507915966,0.3316835951856518,0.1599999999999966,0.769999999999996,0.4500000000000028,0.5,0.8599999999999994,0.1033127753576508,0.8900000000000006,0.1644014509903542,0.0441246441880025,0.2825956184790357,0.6658130429528768,-0.5999999999999943,0.3785614609683136,-1.0911072049870825,-1.8610770141003317,0.1921238213660814,1.699939350486957,0.2300000000000039,-2.09415627750208,0.3686218775987697,0.2460274224270904,0.2269829176439373,0.0592551689333333,0.3821613773333333,0.0470772388666666,0.0387325139166666,0.3597757746666666,0.1129979242666666,0.0734577221053753,0.3640579715465578,0.0465463871090673,0.0437022224947533,0.3439860218425382,0.1282496700847185,1.9381441833333333,590,6.380122536899765,0.009623004546236602,-0.002989492989247333,0.004860385253763401,0.002593951126344099,0.001717118537634399,-0.0158049626365592,0.004289473655913589,0.039763233172013024
2020-10-01,0.4089432165763753,0.5412220353945969,0.3407889633409979,0.5909177044373735,0.3700000000000045,0.6572305226561497,2.489999999999995,-0.0199785637807252,0.0900832049167945,-0.3934347330880428,16.98431918974292,0.2600000000000051,0.3100000000000023,0.730000000000004,0.8400000000000034,-1.8626318731180616,0.019999999999996,0.3199999999999932,0.5735524175851481,0.6389026268952307,0.135711586498104,0.9413961773572056,0.1767543112214156,0.0431915180974016,1.0600000000000025,0.4334979297709935,0.2681276581232055,0.5900000000000034,0.7281830191743666,0.5850766160872922,0.3258029977317704,-0.2999999999999971,0.6800000000000068,0.1899999999999977,0.75,1.3499999999999943,0.1151273585738721,0.9500000000000028,0.3028497585773948,0.2887262631217595,0.232407618831985,-0.2399691204380616,-0.25,0.3277767770125877,0.2395635924118835,0.3664682035593216,0.1889979029452035,1.5716545967004834,0.1800000000000068,0.974491332650146,0.3321629548031808,0.3635718382048623,0.3265397398779299,0.047172409516129,0.3512001880645161,0.0503779903870967,0.0434916232258064,0.3842437638709677,0.1235140251290322,0.0511751240083908,0.3310997207131189,0.0528542336919185,0.0430096096566225,0.3798497842985145,0.1420115279482988,1.942642825806452,619,6.428105272684596,-0.012082759417204304,-0.03096118926881719,0.0033007515204300994,0.0047591093091398015,0.0244679892043011,0.010516100862365596,0.004498642473118819,0.047982735784831476
